,Name,App_id,Avg_Players,Gain,Perc_Gain,Peak_Players,Last 30 Days,April 2021,March 2021,February 2021,January 2021,December 2020,November 2020,October 2020,September 2020,August 2020,July 2020,June 2020,May 2020,April 2020,March 2020,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,January 2019,December 2018,November 2018,October 2018,September 2018,August 2018,July 2018,June 2018,May 2018,April 2018,March 2018,February 2018,January 2018,December 2017,November 2017,October 2017,September 2017,August 2017,July 2017,June 2017,May 2017,April 2017,March 2017,February 2017,January 2017,December 2016,November 2016,October 2016,September 2016,August 2016,July 2016,June 2016,May 2016,April 2016,March 2016,February 2016,January 2016,December 2015,November 2015,October 2015,September 2015,August 2015,July 2015,June 2015,May 2015,April 2015,March 2015,February 2015,January 2015,December 2014,November 2014,October 2014,September 2014,August 2014,July 2014,June 2014,May 2014,April 2014,March 2014,February 2014,January 2014,December 2013,November 2013,October 2013,September 2013,August 2013,July 2013,June 2013,May 2013,April 2013,March 2013,February 2013,January 2013,December 2012,November 2012,October 2012,September 2012,August 2012,July 2012,birth
0,PLAYERUNKNOWN'S BATTLEGROUNDS,578080,0.0,0.0,1.0,0.0,-2.31,-3.63,-2.94,-1.14,6.35,5.41,10.42,-3.85,-12.16,-9.07,-8.09,-5.31,0.17,6.29,-11.3,-6.46,-10.73,0.91,6.45,-7.81,-13.13,+1.60,-2.81,-5.90,-1.09,-6.63,-4.6,-12.02,5.12,13.24,-10.87,-13.54,-12.39,-10.06,-13.99,-8.62,-20.86,-14.53,-6.87,-12.23,10.36,7.64,22.78,64.59,69.49,69.58,+64.19,30.21,53.94,297.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,March 2017
1,Apex Legends,1172470,0.0,0.0,1.0,0.0,+22.80,-0.96,4.25,68.58,11.32,-13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 2020
2,Grand Theft Auto V,271590,0.0,0.0,1.0,0.0,-8.15,3.18,-0.94,-10.47,-5.3,39.36,14.18,-1.26,-23.02,5.67,-16.14,-29.44,12.12,8.33,-18.45,28.23,13.83,42.03,17.37,-11.3,-32.28,+5.43,63.3,+2.36,14.24,-19.47,3.62,-2.89,7.57,29.37,-0.59,-11.97,-28.05,-15.03,64.32,18.53,-3.51,-7.06,-13.8,-31.16,-0.64,86.25,5.38,-13.24,-15.15,-11.2,+0.92,40.59,-12.68,1.01,-8.74,-15.68,2.16,+43.85,2.15,32.99,-18.43,-14.11,12.49,59.15,-20.34,-6.85,-15.03,-14.85,7.11,27.3,11.45,21.81,-17.89,-17.9,-19.8,-49.71,-51.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2015
3,Destiny 2,1085660,0.0,0.0,1.0,0.0,+17.85,-14.47,-10.18,32.38,-33.04,-32.93,96.62,-4.69,-17.04,-6.1,-11.75,49.6,-21.72,-14.63,23.03,-4.41,-28.44,-14.62,-34.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October 2019
4,Rust,252490,0.0,0.0,1.0,0.0,-3.80,-10.17,-26.65,-17.15,132.33,10.4,14.12,4.57,-12.87,-8.5,15.51,-12.08,-15.05,15.51,16.71,-2.99,5.14,12.84,-6.84,-5.91,-15.2,-5.99,37.95,+26.14,-6.34,-6.20,-4.02,-8.16,8.4,13.04,18.5,16.48,-13.24,-14.11,20.95,26.85,-8.27,-10.41,-13.23,-3.35,5.14,17.15,9.27,19.29,-15.5,-13.55,+0.95,15.39,-11.22,-11.87,-10.89,7.07,17.34,+26.64,-6.26,-7.09,-13.68,-1.67,22.04,-0.54,-0.42,-6.09,-15.83,17.17,49.65,41.44,-0.34,5.6,-16.54,7.62,0.6,-0.61,69.84,-1.62,-11.76,-11.5,72.17,14.25,-15.51,0.41,-27.39,-13.74,-15.13,-9.22,-25.53,-29.01,-28.43,39.71,170.21,,,,,,,,,,,,,,,,,,,December 2013
5,Warframe,230410,0.0,0.0,1.0,0.0,+5.11,8.07,9.54,8.54,0.37,-9.83,-3.35,-26.69,-5.53,51.4,-12.15,-9.77,-11.78,6.61,29.05,12.88,-23.08,2.28,33.99,-19.03,-20.14,-4.84,31.0,-15.63,-10.59,-9.91,35.86,-12.38,-1.81,-12.62,23.67,-4.01,-24.82,-10.06,35.27,31.86,-14.7,4.68,-1.93,8.54,-12.07,-9.06,-8.74,67.19,-7.35,2.47,+50.58,-6.76,-9.14,-0.48,8.19,-10.51,-5.77,+12.95,42.74,-8.29,-14.21,-6.93,8.35,-1.02,-2.02,-19.56,5.76,3.91,-7.65,55.88,-23.02,25.58,-24.32,46.27,8.55,-12.25,-5.28,4.07,15.53,2.56,-7.52,14.67,7.37,-0.42,-4.03,8.17,25.3,4.65,-19.23,16.1,-9.33,17.08,4.9,+20.55,+3.17,-8.02,+10.02,-8.06,-10.85,+4.22,-16.15,+529.02,+43776179.05,,,,,,,,,January 2013
6,Tom Clancy's Rainbow Six Siege,359550,0.0,0.0,1.0,0.0,-17.17,-12.38,17.65,-6.86,9.89,27.87,-12.15,-16.66,10.76,-10.58,8.66,-12.36,-26.19,-9.48,22.74,3.7,20.4,17.64,1.32,-15.77,5.36,-4.46,-0.83,+31.92,-3.55,-11.84,-4.67,-7.8,11.73,22.39,-7.25,-15.27,-0.19,8.17,2.81,5.21,-1.82,-22.68,20.81,8.38,6.84,43.22,31.2,-13.25,7.45,19.54,+17.83,1.17,-4.69,-4.23,-14.68,47.62,20.55,+11.86,44.97,1.73,-25.48,28.72,20.57,27.34,-7.51,+24.78,-33.88,-9.57,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2015
7,Wallpaper Engine,431960,0.0,0.0,1.0,0.0,+0.80,-6.2,-7.07,-7.18,10.05,12.52,10.97,-4.27,-4.19,5.77,11.02,1.61,8.86,9.3,22.08,20.25,11.15,12.19,6.17,0.46,4.06,+6.98,5.58,+3.25,2.98,+8.30,-0.74,-5.16,7.2,4.56,15.93,-0.57,-0.56,-2.84,4.38,1.01,-1.31,5.01,8.4,-5.47,4.74,12.26,3.09,-1.01,8.82,-9.39,-11.31,1.91,-3.35,-22.28,9.16,10.67,386.93,+3325.94,0.2,32889.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2016
8,ARK: Survival Evolved,346110,0.0,0.0,1.0,0.0,-7.16,-5.36,-20.17,-2.18,12.14,-0.18,35.12,-7.69,-5.3,-16.43,-3.82,-2.43,-25.79,-6.44,64.32,16.95,12.8,11.86,15.76,-8.64,-20.71,-9.05,8.98,+31.03,1.83,-2.74,3.39,-10.31,-15.85,-17.17,76.93,3.71,-12.95,-27.88,7.81,33.09,-8.76,-10.16,-8.69,-14.41,5.48,36.13,-9.3,-13.86,25.38,-16.66,-11.19,26.05,-11.5,2.81,-22.74,14.41,28.92,+15.03,-4.88,-11.82,6.03,-9.87,-7.83,8.18,10.73,-0.78,-5.52,-3.35,21.69,-2.34,-13.57,7.11,-21.21,-3.65,9.08,811697.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 2015
9,Football Manager 2021,1263850,0.0,0.0,1.0,0.0,-3.05,-4.79,-8.28,-4.31,8.56,33.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 2020
