real_id,name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
80,Counter-Strike: Condition Zero
80,Counter-Strike: Condition Zero
130,Half-Life: Blue Shift
220,Half-Life 2
240,Counter-Strike: Source
280,Half-Life: Source
300,Day of Defeat: Source
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
420,Half-Life 2: Episode Two
440,Team Fortress 2
500,Left 4 Dead
550,Left 4 Dead 2
570,Dota 2
620,Portal 2
630,Alien Swarm
620,Portal 2
730,Counter-Strike: Global Offensive
1200,Red Orchestra: Ostfront 41-45
1250,Killing Floor
1300,SiN Episodes: Emergence
1300,SiN Episodes: Emergence
1300,SiN Episodes: Emergence
1500,Darwinia
1510,Uplink
1520,DEFCON
1530,Multiwinia
1600,Dangerous Waters
1610,Space Empires IV Deluxe
1630,Disciples II: Rise of the Elves
1640,Disciples II: Galleans Return
1670,Iron Warriors: T - 72 Tank Command
1690,Space Empires V
1700,Arx Fatalis
1840,Source Filmmaker
1900,Earth 2160
1930,Two Worlds Epic Edition
2100,Dark Messiah of Might & Magic
2100,Dark Messiah of Might & Magic
2200,Quake III Arena
2210,Quake IV
2270,Wolfenstein 3D
2280,Ultimate Doom
2290,Final DOOM
2300,DOOM II
2310,QUAKE
2320,QUAKE II
2340,QUAKE II Mission Pack: Ground Zero
2350,QUAKE III: Team Arena
2370,HeXen: Deathkings of the Dark Citadel
2390,Heretic: Shadow of the Serpent Riders
2400,The Ship: Murder Party
2420,The Ship: Single Player
2450,Bloody Good Time
2600,Vampire: The Masquerade - Bloodlines
2610,GUN(tm)
2620,Call of Duty(r)
2630,Call of Duty(r) 2
2640,Call of Duty: United Offensive
2700,RollerCoaster Tycoon(r) 3: Platinum
2710,Act of War: Direct Action
2720,ThreadSpace: Hyperbol
2780,ARMA: Combat Operations
2800,X2: The Threat
2810,X3: Reunion
2820,X3: Terran Conflict
2840,X: Beyond the Frontier
2850,X: Tension
2870,X Rebirth
2900,688(I) Hunter/Killer
2910,Fleet Command
2990,FlatOut 2(tm)
3000,GTI Racing
3010,Xpand Rally
3020,Call of Juarez(tm)
3130,Men of War: Red Tide
3170,Kings Bounty: Armored Princess
3230,Genesis Rising
3260,Safecracker: The Ultimate Puzzle Adventure
3270,Painkiller Overdose
3300,Bejeweled 2 Deluxe
3310,Chuzzle Deluxe
3320,Insaniquarium Deluxe
3330,Zuma Deluxe
3340,AstroPop Deluxe
3350,Bejeweled Deluxe
3360,Big Money! Deluxe
3380,Dynomite Deluxe
3390,Feeding Frenzy 2 Deluxe
3420,Iggle Pop Deluxe
3440,Rocket Mania Deluxe
3450,Typer Shark! Deluxe
3460,Talismania Deluxe
3480,Peggle Deluxe
3490,Venice Deluxe
3510,Amazing Adventures The Lost Tomb(tm)
3520,Mystery P.I.(tm) - The Vegas Heist
3540,Peggle(tm) Nights
3560,Bejeweled Twist
3590,Plants vs. Zombies GOTY Edition
3600,Escape Rosecliff Island
3610,Mystery P.I. - Lost in Los Angeles
3620,Zumas Revenge!
3700,Sniper Elite
3720,Evil Genius
3730,Aliens versus Predator Classic 2000
3830,Psychonauts
3900,Sid Meiers Civilization(r) IV
3910,Sid Meiers Civilization(r) III Complete
3920,Sid Meiers Pirates!
3960,Shattered Union
3980,CivCity: Rome
3990,Civilization IV(r): Warlords
4000,Garrys Mod
4230,RACE - The WTCC Game
4230,RACE - The WTCC Game
4290,RACE: Caterham Expansion
4300,RoboBlitz
4460,City Life 2008
4470,Silverfall: Earth Awakening
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520,Full Spectrum Warrior
4530,Full Spectrum Warrior: Ten Hammers
4540,Titan Quest
4550,Titan Quest - Immortal Throne
4560,Company of Heroes
4570,Warhammer(r) 40000: Dawn of War(r) - Game of the Year Edition
4580,Warhammer(r) 40000: Dawn of War(r) - Dark Crusade
4700,Medieval II: Total War(tm)
4720,Condemned: Criminal Origins
4760,Rome: Total War(tm) - Collection
4770,Rome: Total War(tm) - Alexander
4800,Heroes of Annihilated Empires
4850,Cossacks: Back to War
4870,Cossacks: Art of War
4880,Cossacks: European Wars
4890,Cossacks II: Battle for Europe
4900,Zen of Sudoku
4920,Natural Selection 2
4920,Natural Selection 2
6000,STAR WARS(tm) Republic Commando(tm)
6010,Indiana Jones(r) and the Fate of Atlantis(tm)
6020,STAR WARS(tm) Jedi Knight - Jedi Academy(tm)
6030,STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm)
6040,The Dig(r)
6060,STAR WARS(tm) Battlefront(tm) II
6080,Thrillville(r): Off the Rails(tm)
6090,Armed and Dangerous(r)
6120,Shank
6120,Shank
6200,Ghost Master(r)
6220,FlatOut
6250,Making History: The Calm & the Storm
6300,Dreamfall: The Longest Journey
6310,The Longest Journey
6370,Bloodline Champions
6400,Joint Task Force
6420,Nexus - The Jupiter Incident
6510,Lost Planet(tm): Extreme Condition
6550,Devil May Cry(r) 3 Special Edition
6800,Commandos: Behind Enemy Lines
6810,Commandos: Beyond the Call of Duty
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6850,Hitman 2: Silent Assassin
6860,Hitman: Blood Money
6870,Battlestations: Midway
6880,Just Cause
6900,Hitman: Codename 47
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6980,Thief: Deadly Shadows
7000,Tomb Raider: Legend
7010,Project: Snowblind
7110,Jade Empire(tm): Special Edition
7200,Trackmania United Forever Star Edition
7210,Runaway A Road Adventure
7260,Loki
7340,Azada
7510,X-Blades
7520,Two Worlds II
7530,Two Worlds II Castle Defense
7600,Sid Meiers Railroads!
7610,Railroad Tycoon 3
7620,Railroad Tycoon II Platinum
7650,X-COM: Terror From the Deep
7660,X-COM: Apocalypse
7670,BioShock(tm)
7760,X-COM: UFO Defense
7830,Men of War(tm)
7840,Death Track(r): Resurrection
7860,NecroVision
7940,Call of Duty(r) 4: Modern Warfare(r)
8000,Tomb Raider: Anniversary
8080,Kane and Lynch: Dead Men(tm)
8100,Conflict: Denied Ops
8140,Tomb Raider: Underworld
8170,Battlestations Pacific
8190,Just Cause 2
8200,Sam & Max 101: Culture Shock
8210,Sam & Max 102: Situation: Comedy
8240,Sam & Max 105: Reality 2.0
8260,Sam & Max 201: Ice Station Santa
8270,Sam & Max 202: Moai Better Blues
8300,Sam & Max 205: What’s New Beelzebub?
8310,Bone: Out From Boneville
8320,Bone: The Great Cow Race
8340,Strong Bads Cool Game for Attractive People: Season 1
8350,Strong Bads Cool Game for Attractive People: Episode 2
8370,Strong Bads Cool Game for Attractive People: Episode 4
8380,Strong Bads Cool Game for Attractive People: Episode 5
8400,Geometry Wars: Retro Evolved
8500,EVE Online
8600,RACE 07
8800,Civilization IV: Beyond the Sword
8850,BioShock(r) 2
8870,BioShock Infinite
8890,Freedom Force vs. the Third Reich
8930,Sid Meiers Civilization(r) V
8970,Axel & Pixel
8980,Borderlands
9000,Spear of Destiny
9010,Return to Castle Wolfenstein
9030,QUAKE Mission Pack 2: Dissolution of Eternity
9040,QUAKE Mission Pack 1: Scourge of Armagon
9050,DOOM 3
9160,Master Levels for Doom II
9180,Commander Keen
9200,RAGE
9200,RAGE
9310,Warhammer(r) 40000: Dawn of War(r) - Winter Assault
9340,Company of Heroes: Opposing Fronts
9350,Supreme Commander
9420,Supreme Commander: Forged Alliance
9450,Warhammer(r) 40000: Dawn of War(r) - Soulstorm
9460,Frontlines(tm): Fuel of War(tm)
9480,Saints Row 2
9500,Gish
9710,Desperados 2: Coopers Revenge
9760,Act of War: High Treason
9800,Death to Spies
9850,Codename: Panzers - Cold War
9880,Champions Online
9900,Star Trek Online
9930,Test Drive Unlimited 2
9940,Blade Kitten
9980,The UnderGarden
10090,Call of Duty: World at War
10100,Kings Quest(tm) Collection
10110,Space Quest(tm) Collection
10120,Aces of the Galaxy(tm)
10130,TimeShift(tm)
10140,3D Ultra(tm) Minigolf Adventures
10150,Prototype(tm)
10180,Call of Duty(r): Modern Warfare(r) 2
10180,Call of Duty(r): Modern Warfare(r) 2
10260,PT Boats: South Gambit
10270,Disciples III: Reincarnation
10460,The Club(tm)
10500,Empire: Total War(tm)
10530,Space Siege
10680,Aliens vs. Predator(tm)
11020,TrackMania Nations Forever
11040,Sherlock Holmes - Nemesis
11130,Sherlock Holmes: The Mystery of the Mummy
11140,Sherlock Holmes: The Awakened - Remastered Edition
11150,Sherlock Holmes: The Silver Earring
11180,Sherlock Holmes: The Mystery of the Persian Carpet
11190,Sherlock Holmes versus Jack the Ripper
11240,Space Trader: Merchant Marine
11260,Pacific Storm Allies
11280,Penguins Arena: Sednas World
11330,Obulis
11360,Chains
11370,Nikopol: Secrets of the Immortals
11390,Crash Time 2
11450,Overlord(tm)
11480,Soldiers: Heroes of World War II
11590,Hospital Tycoon
11610,Dragon Nest
11920,LUMINES(tm) Advance Pack
12100,Grand Theft Auto III
12110,Grand Theft Auto: Vice City
12120,Grand Theft Auto: San Andreas
12130,Manhunt
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12160,Midnight Club 2
12170,Grand Theft Auto
12200,Bully: Scholarship Edition
12210,Grand Theft Auto IV
12320,Sacred Gold
12330,Darkstar One
12340,Jack Keane
12360,FlatOut: Ultimate Carnage
12420,Perimeter 2: New Earth
12430,SlamIt Pinball Big Score
12440,Ankh 2: Heart of Osiris
12450,Ankh 3: Battle of the Gods
12460,BC Kings
12470,Port Royale 2
12500,PuzzleQuest: Challenge of the Warlords
12510,Prison Tycoon 3(tm): Lockdown
12520,18 Wheels of Steel: American Long Haul
12560,Ride! Carnival Tycoon
12590,Sprint Cars Road to Knoxville
12640,Drakensang
12670,Mission Runway
12690,Hunting Unlimited 2010
12710,Overlord(tm): Raising Hell
12750,GRID(tm)
12770,Rise of the Argonauts
